Player,Cost,Team
MS Dhoni,900000,CSK
KM Asif,650000,CSK
S Billings,800000,CSK
C Bishnoi,700000,CSK
DJ Bravo,950000,CSK
D Chahar,750000,CSK
F du Plessis,900000,CSK
H Singh,850000,CSK
I Tahir,950000,CSK
K Jadhav,850000,CSK
N Jagadeesan,700000,CSK
K Sharma,650000,CSK
M Kumar,650000,CSK
L Ngidi,850000,CSK
A Rayudu,850000,CSK
K Seth,650000,CSK
K Sharma,850000,CSK
D Shorey,700000,CSK
S Thakur,800000,CSK
M Vijay,900000,CSK
S Watson,950000,CSK
M Wood,850000,CSK
A Sharma,650000,DD
A Khan,650000,DD
T Boult,900000,DD
D Christian,850000,DD
S Ghosh,650000,DD
GM Singh,750000,DD
S Iyer,850000,DD
S Lamichhane,750000,DD
M Kalra,700000,DD
G Maxwell,950000,DD
A Mishra,850000,DD
M Shami,850000,DD
C Morris,950000,DD
C Munro,900000,DD
S Nadeem,750000,DD
N Ojha,800000,DD
R Pant,850000,DD
H Patel,750000,DD
K Rabada,900000,DD
J Roy,900000,DD
V Shankar,800000,DD
P Shaw,750000,DD
R Tewatia,700000,DD
J Yadav,700000,DD
R Ashwin,900000,KXIP
A Nath,700000,KXIP
M Dagar,650000,KXIP
B Dwarshuis,750000,KXIP
A Finch,900000,KXIP
M Dar,650000,KXIP
D Miller,950000,KXIP
M Ur Rahman,850000,KXIP
K Nair,850000,KXIP
A Patel,850000,KXIP
L Rahul,950000,KXIP
A Rajpoot,700000,KXIP
P Sahu,700000,KXIP
M Sharma,850000,KXIP
B Sran,800000,KXIP
MP Stoinis,900000,KXIP
M Tiwary,850000,KXIP
A Tye,950000,KXIP
Y Singh,900000,KXIP
D Karthik,950000,KKR
P Chawla,850000,KKR
C Delport,850000,KKR
T Curran,800000,KKR
I Jaggi,650000,KKR
M Johnson,900000,KKR
K Yadav,900000,KKR
C Lynn,1000000,KKR
K Nagarkoti,750000,KKR
S Narine,1050000,KKR
N Rana,800000,KKR
A Russell,950000,KKR
J Searles,700000,KKR
S Mavi,700000,KKR
S Gill,750000,KKR
R Singh,650000,KKR
V Kumar,800000,KKR
A Wankhade,650000,KKR
RG Sharma,1050000,MI
R Chahar,700000,MI
B Cutting,900000,MI
A Dananjaya,850000,MI
JP Duminy,850000,MI
I Kishan,800000,MI
SD Lad,650000,MI
E Lewis,950000,MI
S Lumba,650000,MI
M Markande,650000,MI
M McClenaghan,950000,MI
M Khan,700000,MI
M Rahman,900000,MI
MD Nidheesh,650000,MI
H Pandya,1000000,MI
K Pandya,850000,MI
A Roy,650000,MI
P Sangwan,750000,MI
T Singh,700000,MI
A Tare,750000,MI
S Tiwary,750000,MI
S Yadav,850000,MI
A Sharma,700000,RR
Anureet Singh,750000,RR
J Archer,900000,RR
H Klaasen,850000,RR
S Binny,800000,RR
A Birla,700000,RR
J Buttler,900000,RR
D Chameera,850000,RR
P Chopra,650000,RR
S Gopal,750000,RR
K Gowtham,700000,RR
D Kulkarni,850000,RR
B Laughlin,850000,RR
M Lomror,700000,RR
S Midhun,650000,RR
A Rahane,950000,RR
S Samson,850000,RR
J Saxena,650000,RR
D Short,850000,RR
B Stokes,1000000,RR
R Tripathi,850000,RR
J Unadkat,850000,RR
Z Khan,700000,RR
V Kohli,1100000,RCB
M Ali,900000,RCB
C Anderson,900000,RCB
M Ashwin,750000,RCB
Y Chahal,900000,RCB
A Choudhary,750000,RCB
C de Grandhomme,850000,RCB
Q de Kock,950000,RCB
P Deshpande,750000,RCB
AB de Villiers,1050000,RCB
A Joshi,650000,RCB
S Khan,800000,RCB
B McCullum,950000,RCB
M Singh,800000,RCB
M Siraj,800000,RCB
P Patel,850000,RCB
N Saini,700000,RCB
T Southee,900000,RCB
M Vohra,800000,RCB
W Sundar,900000,RCB
C Woakes,950000,RCB
U Yadav,900000,RCB
T Agarwal,700000,SRH
K Ahmed,700000,SRH
B Thampi,700000,SRH
R Bhui,650000,SRH
B Sharma,750000,SRH
C Brathwaite,850000,SRH
A Hales,800000,SRH
S Dhawan,1000000,SRH
S Goswami,750000,SRH
M Hasan,650000,SRH
D Hooda,800000,SRH
C Jordan,850000,SRH
S Kaul,750000,SRH
B Kumar,1000000,SRH
M Nabi,900000,SRH
T Natarajan,700000,SRH
M Pandey,900000,SRH
Y Pathan,900000,SRH
R Khan,1000000,SRH
S Baby,750000,SRH
W Saha,900000,SRH
Sandeep Sharma,850000,SRH
S Al Hasan,900000,SRH
B Stanlake,750000,SRH
K Williamson,950000,SRH
